Election,Scottish STV Winners,Adaptive Quota STV Winners,Meek STV Winners,Chamberlin-Courant Winners,Greedy Chamberlin-Courant Winners,Expanding Approvals Winners,CPO-STV Winners
fife_2017_ward1.csv,"[2, 7, 6]","[2, 6, 7]","[2, 6, 7]","[2, 6, 7]","[2, 7, 6]","[2, 7, 6]","[2, 6, 7]"
fife_2017_ward13.csv,"[3, 5, 8]","[3, 5, 8]","[3, 5, 8]","[3, 4, 5]","[5, 3, 4]","[5, 3, 8]","[3, 5, 8]"
fife_2017_ward21.csv,"[2, 6, 7, 3]","[2, 6, 7, 3]","[2, 6, 7, 3]","[2, 3, 6, 8]","[2, 3, 6, 8]","[2, 6, 3, 7]","[2, 3, 6, 7]"
fife_2022_ward10.csv,"[5, 6, 4]","[5, 6, 4]","[5, 6, 8]","[4, 5, 6]","[6, 5, 4]","[6, 5, 7]","[5, 6, 7]"
fife_2022_ward12.csv,"[1, 2, 6]","[1, 2, 6]","[1, 2, 6]","[1, 2, 8]","[1, 2, 8]","[1, 2, 4]","[1, 2, 6]"
fife_2022_ward14.csv,"[1, 7, 5, 8]","[1, 7, 5, 8]","[1, 7, 5, 8]","[1, 5, 7, 8]","[1, 8, 5, 7]","[1, 8, 7, 5]","[1, 5, 7, 8]"
fife_2022_ward15.csv,"[4, 7, 8]","[4, 7, 8]","[4, 7, 8]","[2, 4, 7]","[7, 4, 2]","[7, 4, 8]","[4, 7, 8]"
fife_2022_ward17.csv,"[3, 7, 4]","[3, 7, 4]","[3, 7, 4]","[3, 4, 7]","[7, 3, 4]","[3, 7, 4]","[3, 4, 7]"
fife_2022_ward19.csv,"[1, 4, 2]","[1, 4, 2]","[1, 4, 2]","[1, 4, 7]","[1, 4, 7]","[1, 4, 2]","[1, 2, 4]"
fife_2022_ward2.csv,"[7, 1, 3]","[7, 1, 3]","[7, 1, 3]","[1, 3, 7]","[7, 1, 3]","[7, 1, 5]","[1, 3, 7]"
