Election,Scottish STV Winners,Meek STV Winners,Chamberlin-Courant (OM) Winners,Chamberlin-Courant (PM) Winners,Expanding Approvals Winners
highland_2012_ward2.csv,"[3, 6, 5]","[3, 6, 5]","[3, 6, 7]","[3, 6, 7]","[3, 6, 5]"
highland_2012_ward21.csv,"[1, 6, 5, 4]","[1, 5, 6, 4]","[1, 5, 6, 7]","[1, 5, 6, 7]","[1, 4, 6, 5]"
highland_2012_ward5.csv,"[3, 4, 6]","[3, 4, 6]","[3, 4, 6]","[3, 4, 6]","[3, 4, 2]"
highland_2012_ward6.csv,"[1, 3, 7, 2]","[1, 3, 7, 2]","[1, 2, 3, 7]","[1, 2, 3, 7]","[1, 3, 2, 7]"
highland_2017_ward11.csv,"[2, 7, 3]","[2, 7, 3]","[2, 3, 7]","[2, 3, 7]","[2, 7, 3]"
highland_2017_ward12.csv,"[4, 3, 7, 2]","[4, 3, 2, 7]","[3, 4, 5, 7]","[3, 4, 5, 7]","[4, 3, 7, 2]"
highland_2017_ward13.csv,"[4, 7, 1]","[4, 7, 1]","[1, 4, 7]","[1, 4, 7]","[4, 1, 7]"
highland_2017_ward16.csv,"[3, 5, 1]","[3, 1, 5]","[1, 3, 5]","[1, 3, 5]","[3, 1, 5]"
highland_2017_ward21.csv,"[1, 2, 6, 5]","[1, 2, 5, 6]","[1, 2, 6, 7]","[1, 2, 6, 7]","[2, 1, 6, 5]"
highland_2017_ward4.csv,"[4, 2, 5]","[2, 4, 5]","[2, 4, 5]","[2, 4, 5]","[4, 2, 5]"
highland_2017_ward8.csv,"[4, 6, 7, 5]","[4, 6, 7, 5]","[3, 4, 6, 7]","[3, 4, 6, 7]","[4, 6, 7, 5]"
highland_2017_ward9.csv,"[3, 1, 2]","[3, 1, 2]","[1, 3, 6]","[1, 3, 6]","[3, 1, 2]"
highland_2021_by_election_fort_william.csv,[2],[2],[2],[2],[2]
highland_2021_by_election_inverness_west.csv,[1],[1],[1],[1],[1]
highland_2022_aird_and_loch_ness.csv,"[2, 4, 6, 1]","[2, 4, 6, 1]","[1, 2, 4, 6]","[1, 2, 4, 6]","[6, 4, 2, 1]"
highland_2022_culloden.csv,"[2, 6, 4]","[2, 4, 6]","[2, 4, 7]","[2, 4, 7]","[2, 6, 4]"
highland_2022_dingwall.csv,"[4, 5, 6, 3]","[4, 5, 6, 3]","[1, 4, 5, 6]","[1, 4, 5, 6]","[4, 5, 6, 3]"
highland_2022_inverness_ness_side.csv,"[1, 2, 4]","[1, 2, 5]","[1, 2, 7]","[1, 2, 7]","[1, 2, 4]"
highland_2022_inverness_south.csv,"[4, 6, 1, 7]","[4, 6, 7, 1]","[1, 4, 6, 7]","[1, 4, 6, 7]","[4, 6, 7, 1]"
highland_2022_northwest_and_central_sutherland.csv,"[1, 3, 5]","[1, 3, 5]","[1, 3, 5]","[1, 3, 5]","[3, 1, 5]"
inverclyde_2012_ward3.csv,"[1, 4, 3, 7]","[1, 4, 3, 7]","[1, 2, 3, 7]","[1, 2, 3, 7]","[1, 4, 3, 7]"
inverclyde_2012_ward5.csv,"[1, 3, 5]","[1, 3, 5]","[1, 3, 5]","[1, 3, 5]","[1, 3, 5]"
inverclyde_2012_ward6.csv,"[6, 5, 3]","[6, 3, 5]","[3, 5, 6]","[3, 5, 6]","[3, 5, 6]"
inverclyde_2017_ward4.csv,"[1, 2, 7, 3]","[1, 2, 3, 7]","[1, 2, 4, 7]","[1, 2, 4, 7]","[1, 7, 2, 3]"
inverclyde_2017_ward5.csv,"[1, 4, 5]","[1, 4, 5]","[1, 3, 4]","[1, 3, 4]","[1, 4, 5]"
inverclyde_2017_ward6.csv,"[4, 7, 1]","[4, 1, 7]","[1, 4, 7]","[1, 4, 7]","[4, 7, 1]"
inverclyde_2022_ward5.csv,"[2, 4, 5]","[2, 4, 5]","[2, 4, 5]","[2, 4, 5]","[4, 5, 2]"
midlothian_2012_ward2.csv,"[5, 3, 2]","[5, 3, 6]","[2, 3, 5]","[2, 3, 5]","[5, 3, 6]"
midlothian_2012_ward3.csv,"[1, 3, 6]","[1, 3, 6]","[1, 3, 6]","[1, 3, 6]","[1, 3, 6]"
midlothian_2012_ward5.csv,"[1, 3, 4]","[1, 3, 2]","[1, 3, 4]","[1, 3, 4]","[1, 3, 4]"
midlothian_2017_ward2.csv,"[6, 1, 4]","[6, 1, 4]","[1, 4, 6]","[1, 4, 6]","[6, 1, 4]"
midlothian_2017_ward3.csv,"[2, 3, 4]","[2, 3, 4]","[2, 3, 6]","[2, 3, 6]","[2, 4, 3]"
midlothian_2017_ward6.csv,"[3, 2, 4]","[3, 2, 4]","[2, 3, 4]","[2, 3, 4]","[3, 2, 5]"
midlothian_2022_ward1.csv,"[4, 5, 6]","[4, 5, 6]","[4, 5, 7]","[4, 5, 7]","[4, 5, 6]"
midlothian_2022_ward3.csv,"[4, 3, 6]","[4, 3, 6]","[3, 4, 7]","[3, 4, 7]","[4, 3, 6]"
midlothian_2022_ward4.csv,"[3, 5, 7]","[3, 5, 7]","[3, 5, 7]","[3, 5, 7]","[3, 5, 1]"
moray_2012_ward5.csv,"[3, 4, 6, 7]","[4, 3, 5, 7]","[3, 4, 6, 7]","[3, 4, 6, 7]","[4, 3, 6, 5]"
moray_2017_ward5.csv,"[1, 2, 6, 3]","[1, 2, 6, 3]","[1, 2, 3, 6]","[1, 2, 3, 6]","[1, 2, 6, 3]"
moray_2017_ward8.csv,"[3, 5, 1, 2]","[3, 5, 1, 2]","[1, 3, 5, 7]","[1, 3, 5, 7]","[3, 5, 1, 2]"
north_ayrshire_2012_ward6.csv,"[1, 3, 4]","[1, 3, 4]","[1, 3, 4]","[1, 3, 4]","[1, 4, 3]"
north_ayrshire_2017_ward1.csv,"[1, 4, 6, 7]","[1, 4, 6, 7]","[1, 4, 5, 6]","[1, 4, 5, 6]","[1, 4, 6, 7]"
north_ayrshire_2017_ward10.csv,"[1, 5, 2]","[1, 2, 5]","[1, 2, 5]","[1, 2, 5]","[5, 1, 6]"
north_ayrshire_2017_ward3.csv,"[1, 2, 3, 7]","[1, 2, 3, 7]","[1, 2, 3, 5]","[1, 2, 3, 5]","[1, 2, 3, 7]"
north_ayrshire_2017_ward5.csv,"[2, 3, 6]","[2, 3, 6]","[2, 3, 5]","[2, 3, 5]","[2, 3, 5]"
north_ayrshire_2017_ward7.csv,"[2, 5, 1]","[5, 2, 1]","[1, 2, 5]","[1, 2, 5]","[2, 5, 1]"
